subject_id,task,n_words,reading_duration_sec,reading_speed_wpm
1145,T5,97,124.937108,46.58343780456324
1021,T1,89,73.877295,72.2820184469396
1405,T4,88,131.08036,40.280633956147206
1174,T5,97,180.800106,32.19024661412533
1929,T1,89,150.850468,35.399293557378954
1879,T5,97,254.625435,22.857103808187897
1626,T5,97,135.784062,42.862173323405216
1626,T4,88,85.040545,62.0880310680041
1082,T4,88,164.373342,32.12199700849302
1257,T4,88,46.3639,113.88170537853804
1113,T4,88,117.553605,44.91567910656589
1729,T1,89,228.003523,23.42069074081807
1169,T4,88,60.914542,86.67880979881619
1274,T5,97,129.728438,44.86294670409891
1693,T4,88,73.661427,71.67930645709592
1350,T5,97,270.08773,21.548553871736416
1591,T5,97,225.675545,25.789236489935142
1350,T4,88,150.458635,35.09270172496248
1187,T4,88,67.170056,78.60645523356419
1300,T1,89,139.979803,38.14836058884866
1109,T5,97,91.435754,63.651249597613635
1993,T4,88,132.876317,39.73620069556864
1421,T1,89,97.739374,54.63509516645769
1744,T1,89,85.74811,62.27542507933995
1095,T4,88,68.041891,77.5992542594091
1993,T1,89,92.762592,57.56630862578743
1095,T1,89,59.326746,90.00999313193412
1869,T5,97,157.506257,36.95091300404656
1016,T4,88,115.181817,45.84056874185272
1859,T5,97,427.590124,13.61116563113137
1016,T5,97,191.398976,30.407686193681617
1274,T4,88,63.51431,83.13087239710231
1040,T1,89,77.081278,69.27752287656674
1209,T5,97,150.702519,38.61912885477382
1312,T5,97,272.807607,21.33371596195996
1284,T4,88,76.805073,68.74545904018606
1145,T1,89,58.3509,91.51529796455581
1879,T1,89,157.32212,33.943097130905684
1858,T4,88,311.549856,16.947528295439174
1186,T4,88,54.115101,97.56980773259573
1040,T5,97,155.342391,37.46562649470227
1058,T5,97,95.97135,60.64309817461148
1859,T1,89,218.912723,24.393282979719732
1345,T5,97,98.739205,58.943152317258374
1377,T5,97,137.659789,42.27814122248873
1021,T5,97,159.145598,36.57028578321092
1459,T5,97,437.925064,13.289944966474904
